date,category,amount
2022-07-06 05:57:10+00:00,Restaurant,5.5
2022-07-06 05:57:27+00:00,Market,2.0
2022-07-06 05:58:12+00:00,Coffee,30.1
2022-07-06 05:58:25+00:00,Market,17.33
2022-07-06 05:59:00+00:00,Restaurant,5.5
2022-07-06 05:59:15+00:00,Market,11.78
2022-07-06 05:59:41+00:00,Restaurant,10.0
2022-07-06 05:59:44+00:00,Market,1.38
2022-07-06 05:59:45+00:00,Restaurant,10.0
2022-07-06 05:59:56+00:00,Market,2.73
2022-07-06 06:00:04+00:00,Market,1.94
2022-07-06 06:00:53+00:00,Transport,5.0
2022-07-06 06:01:09+00:00,Restaurant,6.0
2022-07-06 06:07:09+00:00,Market,2.8
2022-07-06 08:55:16+00:00,Coffee,6.6
2022-07-06 14:43:13+00:00,Coffee,7.6
2022-07-06 17:48:06+00:00,Market,3.12
2022-07-07 09:52:48+00:00,Market,2.37
2022-07-07 09:56:52+00:00,Coffee,6.0
2022-07-07 15:06:54+00:00,Market,12.36
2022-07-08 05:00:36+00:00,Market,1.98
2022-07-08 13:02:25+00:00,Restaurant,5.0
2022-07-08 17:16:44+00:00,Market,2.04
2022-07-08 17:16:50+00:00,Restaurant,12.0
2022-07-09 04:43:12+00:00,Coffee,5.7
2022-07-09 06:37:03+00:00,Restaurant,48.0
2022-07-09 06:37:08+00:00,Transport,5.0
2022-07-10 05:45:45+00:00,Transport,21.0
2022-07-10 18:15:13+00:00,Other,20.0
2022-07-10 18:38:38+00:00,Phone,10.0
2022-07-11 15:05:15+00:00,Market,13.62
2022-07-11 15:05:19+00:00,Transport,10.0
2022-07-11 15:05:28+00:00,Market,12.76
2022-07-12 18:47:10+00:00,Restaurant,10.0
2022-07-12 19:09:28+00:00,Market,8.2
2022-07-12 19:10:28+00:00,Communal,150.0
2022-07-13 09:35:23+00:00,Transport,2.0
2022-07-13 14:10:40+00:00,Coffee,6.6
2022-07-13 17:06:52+00:00,Market,1.8
2022-07-14 12:07:03+00:00,Coffee,7.6
2022-07-15 12:42:39+00:00,Transport,6.0
2022-07-15 15:37:35+00:00,Coffee,6.6
2022-07-15 18:24:42+00:00,Market,7.44
2022-07-16 08:26:25+00:00,Coffee,16.0
2022-07-16 09:19:28+00:00,Transport,2.0
2022-07-16 09:49:31+00:00,Coffee,7.6
2022-07-17 10:12:20+00:00,Transport,5.0
2022-07-17 10:12:22+00:00,Coffee,7.6
2022-07-17 10:59:19+00:00,Coffee,7.6
2022-07-17 16:22:17+00:00,Restaurant,10.0
2022-07-17 16:55:41+00:00,Market,4.5
2022-07-18 10:54:56+00:00,Coffee,15.2
2022-07-19 11:18:02+00:00,Coffee,15.6
2022-07-19 12:26:37+00:00,Coffee,3.0
2022-07-19 17:48:53+00:00,Market,18.0
2022-07-19 17:48:55+00:00,Restaurant,10.0
2022-07-20 11:59:47+00:00,Restaurant,5.5
2022-07-20 11:59:52+00:00,Market,4.38
2022-07-20 13:37:03+00:00,Restaurant,10.0
2022-07-20 14:33:00+00:00,Coffee,7.6
2022-07-20 19:23:39+00:00,Transport,4.0
2022-07-21 01:27:52+00:00,Restaurant,8.0
2022-07-27 17:44:12+00:00,Coffee,7.6
2022-07-27 21:09:08+00:00,Market,8.0
2022-07-28 00:51:54+00:00,Clothing,87.0
2022-07-28 00:52:30+00:00,Clothing,135.5
2022-07-28 00:52:37+00:00,Clothing,90.0
2022-07-28 15:59:29+00:00,Market,8.0
